en,pa,translated_helsinki
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","ਅਸੀਂ ਤੁਹਾਨੂੰ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਬਾਰੇ ਸੁਚੇਤ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਰਜਿਸਟਰਡ ਮੋਬਾਈਲ ਨੰਬਰ 'ਤੇ SMS ਵੀ ਭੇਜਦੇ ਹਾਂ, ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰਦੇ ਹੋ ਤਾਂ ਅਸੀਂ ਤੁਹਾਨੂੰ ਜਵਾਬ ਦੇਣ ਲਈ ਅਤੇ ਸ਼ਿਕਾਇਤਾਂ ਦੀ ਜਾਂਚ ਕਰਨ, ਜਵਾਬ ਦੇਣ ਅਤੇ ਹੱਲ ਕਰਨ ਅਤੇ ਸੇਵਾ ਸਮੱਸਿਆਵਾਂ (ਜਿਵੇਂ ਬੱਗਜ) ਲਈ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ।","We also send text messages to your registered mobile phone number to suggest your registration, and when you contact us, we use your information to answer your questions and check your answers, answer and resolve problems (such as bugs)."
2.3. Verification.,2.3. ਪੁਸ਼ਟੀਕਰਨ।,2.3. Postitikern.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ਅਸੀਂ ਖਾਤੇ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਸਾਡੇ ਕੋਲ ਮੌਜੂਦ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ। ਰਿਕਾਰਡਾਂ ਦੀ ਵਰਤੋਂ ਪੋਸ਼ਨ ਟਰੈਕਰ ਨਿਯੰਤਰਣ ਅਤੇ ਜਵਾਬ ਦੇ ਉਦੇਸ਼ਾਂ ਲਈ ਸਿਹਤ ਸਥਿਤੀ ਦੀ ਪੁਸ਼ਟੀ ਲਈ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।,We use the available information to help us manage the account. It can be done to improve the health of the user's health for the purpose of controlling the spam trackers and responding to them.
2.4. Security and Audit.,2.4. ਸੁਰੱਖਿਆ ਅਤੇ ਆਡਿਟ(ਪ੍ਰਤੀ ਪੁਸ਼ਟੀ)।,2.4. Safety and annotations.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","ਅਸੀਂ ਸੁਰੱਖਿਆ ਉਦੇਸ਼ਾਂ ਲਈ ਜਾਂ ਸਾਡੀ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਅਤੇ/ਜਾਂ ਸਾਡੇ ਮੈਂਬਰਾਂ, ਮਹਿਮਾਨਾਂ ਜਾਂ ਹੋਰਾਂ ਨੂੰ ਨੁਕਸਾਨ ਪਹੁੰਚਾਉਣ ਦੀਆਂ ਕੋਸ਼ਿਸ਼ਾਂ ਦੀ ਸੰਭਾਵੀ ਧੋਖਾਧੜੀ ਜਾਂ ਹੋਰ ਉਲੰਘਣਾਵਾਂ ਨੂੰ ਰੋਕਣ ਜਾਂ ਜਾਂਚ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਅੰਕੜਿਆਂ (ਤੁਹਾਡੇ ਸੰਚਾਰਾਂ ਸਮੇਤ) ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ।","We use your data (with your communications) to prevent or test any potential fraud or other frauds in our efforts to harm our members, our guests or others."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.","ਸਿਸਟਮ ਦੀ ਸੁਰੱਖਿਆ ਅਤੇ ਸਕੇਲੇਬਿਲਟੀ ਲਈ, ਪੋਸ਼ਣ ਟਰੈਕਰ ਸਿਸਟਮ ਦਾ ਨਿਯਮਿਤ ਤੌਰ 'ਤੇ ਐਮਡਬਲਿਊਸੀਡੀ (MWCD) ਦੁਆਰਾ ਲੱਗੇ ਆਡੀਟਰਾਂ ਦੁਆਰਾ ਆਡਿਟ ਕੀਤਾ ਜਾਂਦਾ ਹੈ। ਅਜਿਹੇ ਆਡਿਟ ਲਈ ਰਿਕਾਰਡ ਦੀ ਵਰਤੋਂ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।","For system security and scalability, the search tracker is regularly updated by editors from MWCD. A record can be used for such an audit."
2.5. Research and operational activities.,2.5. ਖੋਜ ਅਤੇ ਸੰਚਾਲਨ ਗਤੀਵਿਧੀਆਂ।,2.5. Search and manage speeds.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","ਅਸੀਂ ਆਪਣੀਆਂ ਸੇਵਾਵਾਂ ਨੂੰ ਚਲਾਉਣ ਲਈ ਵੀ ਅੰਕੜਿਆਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਸਾਡੀ ਕਾਰਗੁਜ਼ਾਰੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ ਕਰਨਾ, ਸਾਡੀਆਂ ਕਾਨੂੰਨੀ ਜ਼ਿੰਮੇਵਾਰੀਆਂ ਨੂੰ ਪੂਰਾ ਕਰਨਾ, ਸਾਡੇ ਕਰਮਚਾਰੀਆਂ ਦਾ ਵਿਕਾਸ ਕਰਨਾ ਅਤੇ ਖੋਜ ਕਰਨਾ ਸ਼ਾਮਲ ਹੈ। ਅਸੀਂ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਸਿਸਟਮ ਦੇ ਸੁਧਾਰ ਲਈ ਅਤੇ ਸਿਸਟਮ ਦੇ ਪ੍ਰਬੰਧ ਨਾਲ ਸੰਬੰਧਿਤ ਜਾਂ ਸਹਾਇਕ ਕਾਰਵਾਈਆਂ ਅਤੇ ਨਵੀਆਂ ਤਕਨਾਲੋਜੀਆਂ ਅਤੇ ਸੇਵਾਵਾਂ ਦੇ ਵਿਕਾਸ ਅਤੇ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਕੁਝ ਜ਼ਰੂਰੀ ਕਾਰਵਾਈਆਂ ਕਰਨ ਲਈ ਵੀ ਕਰ ਸਕਦੇ ਹਾਂ।","We also use data to perform our services, in which we can develop our work, fulfill our legal responsibilities, develop and search our work. We can also do some necessary actions to improve the system using information and to provide support for the system and to develop and provide new technologies and services."
2.6. Surveys and Feedbacks.,2.6. ਸਰਵੇਖਣ ਅਤੇ ਆਡਿਟ (ਪ੍ਰਤੀ ਪੁਸ਼ਟੀ)।,2.6. View and edit (standard)
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","ਸਿਸਟਮ, ਸਿਸਟਮ ਦੀ ਕਾਰਗੁਜ਼ਾਰੀ ਅਤੇ ਅਨੁਭਵ ਬਾਰੇ ਆਡਿਟ ਵੀ ਕਰਦਾ ਹੈ। ਨਾਮ, ਮੋਬਾਈਲ ਨੰਬਰ, ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਦੀ ਮਿਤੀ ਅਤੇ ਸਿਹਤ ਸਥਿਤੀ ਬਾਰੇ ਜਾਣਕਾਰੀ ਇਹਨਾਂ ਉਦੇਸ਼ਾਂ ਲਈ ਵਰਤੀ ਜਾ ਸਕਦੀ ਹੈ","An update of the system, system operators and experience. Name, mobile number, registration date and health status information can be used for these purposes."
3. SHARING OF INFORMATION,3. ਜਾਣਕਾਰੀ ਸਾਂਝੀ ਕਰਨਾ,3. Sharing Information
3.1. Tracking health progress.,3.1. ਸਿਹਤ ਦੀ ਵਿਕਾਸ ਅਵਸਥਾ ਨੂੰ ਟਰੈਕ ਕਰਨਾ।,3.1. Tracking health development facilities.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","ਉਪਰੋਕਤ ਧਾਰਾ 1 ਦੇ ਤਹਿਤ ਰਜਿਸਟਰੇਸ਼ਨ ਦੇ ਸਮੇਂ ਤੁਹਾਡੇ ਤੋਂ ਇਕੱਠੀ ਕੀਤੀ ਗਈ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਨੂੰ ਸੁਰੱਖਿਅਤ ਢੰਗ ਨਾਲ ਸਟੋਰ ਕੀਤਾ ਜਾਵੇਗਾ ਅਤੇ ਸਿਰਫ਼ ਭਾਰਤ ਸਰਕਾਰ ਜਾਂ ਰਾਜ ਸਰਕਾਰਾਂ ਦੁਆਰਾ ਸਿਹਤ ਦੇ ਵਿਕਾਸ ਅਤੇ ਸਥਿਤੀ ਨੂੰ ਟਰੈਕ ਕਰਨ, ਰਿਪੋਰਟਾਂ ਬਣਾਉਣ, ਹੀਟ ਨਕਸ਼ੇ ਅਤੇ ਹੋਰ ਅੰਕੜਿਆਂ ਸੰਬੰਧੀ ਦ੍ਰਿਸ਼ਟੀਕੋਣ, ਦੇਸ਼ ਵਿੱਚ ਪੋਸ਼ਣ ਟਰੈਕਰ ਦੇ ਪ੍ਰਬੰਧਨ ਦੇ ਲਈ ਵਰਤਿਆ ਜਾਵੇਗਾ। ਤੁਹਾਡੀ ਸੰਦਰਭ ਆਈਡੀ (ਮੋਬਾਈਲ ਨੰਬਰ) ਉਪਰੋਕਤ ਧਾਰਾ 1 ਦੇ ਅਨੁਸਾਰ ਤੁਹਾਡੇ ਨਾਲ SMS ਦੁਆਰਾ ਸੰਚਾਰ ਕਰਨ ਲਈ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਨਾਲ ਹੀ ਸਬੰਧਤ ਹੋਵੇਗੀ।","The personal information collected from you during your registration will be stored safely and will only be used to track the development and status of health by the Indian government or government, to create reports, to map maps and other statistics. Your mobile phone number will be used to communicate with you in order to communicate with you."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","ਅਸੀਂ ਤੁਹਾਡੀ ਸਹਿਮਤੀ ਤੋਂ ਬਿਨਾਂ ਕਿਸੇ ਹੋਰ ਤੀਜੀ ਧਿਰ ਨੂੰ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦਾ ਖੁਲਾਸਾ ਜਾਂ ਟ੍ਰਾਂਸਫਰ ਨਹੀਂ ਕਰਦੇ, ਜਦੋਂ ਤੱਕ ਕਿ ਅਜਿਹਾ ਖੁਲਾਸਾ ਜਾਂ ਟ੍ਰਾਂਸਫਰ:","We don't open your information or transfer any other third time without your consent, until such an opening or transfer:"
1. Required in order to comply with any applicable law or court order or direction; or,1. ਕਿਸੇ ਵੀ ਲਾਗੂ ਕਾਨੂੰਨ ਜਾਂ ਅਦਾਲਤ ਦੇ ਆਦੇਸ਼ ਜਾਂ ਨਿਰਦੇਸ਼ਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨ ਲਈ ਲੋੜੀਂਦਾ ਹੈ; ਜਾਂ,1. any applicable law or court order or instructions is required; or
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. ਕਿਸੇ ਵੀ ਉਚਿਤ ਸਰਕਾਰੀ ਏਜੰਸੀ ਦੁਆਰਾ ਕਿਸੇ ਵੀ ਅਪਰਾਧ ਜਾਂ ਘਟਨਾਵਾਂ ਦੀ ਪਛਾਣ ਦੀ ਤਸਦੀਕ, ਰੋਕਥਾਮ, ਖੋਜ, ਜਾਂਚ, ਮੁਕੱਦਮਾ ਚਲਾਉਣ ਜਾਂ ਸਜ਼ਾ ਦੇ ਉਦੇਸ਼ ਨਾਲ, ਲਾਗੂ ਕਾਨੂੰਨ ਦੇ ਅਨੁਸਾਰ ਬੇਨਤੀ ਕੀਤੀ ਗਈ ਹੋਵੇ।","2. Any appropriate government agency may be required to identify any crime or incident with the intention of investigating, investigating, investigating, executing sentences or punishment, in accordance with the applicable law."
3.2. Legal Disclosures.,3.2. ਕਾਨੂੰਨੀ ਖੁਲਾਸੇ।,3.2. Legal opening.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","ਅਸੀਂ ਕਿਸੇ ਕਾਨੂੰਨੀ ਬੇਨਤੀ, ਸੰਮਨ, ਜਾਂ ਹੋਰ ਕਾਨੂੰਨੀ ਪ੍ਰਕਿਰਿਆ ਦੇ ਜਵਾਬ ਵਿੱਚ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਸੁਰੱਖਿਅਤ ਅਤੇ ਸਾਂਝੀ ਕਰ ਸਕਦੇ ਹਾਂ ਜਾਂ ਜੇਕਰ ਸਾਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਵਿਸ਼ਵਾਸ ਹੈ ਕਿ (1) ਧੋਖਾਧੜੀ ਜਾਂ ਗੈਰ-ਕਾਨੂੰਨੀ ਗਤੀਵਿਧੀਆਂ ਦੀ ਜਾਂਚ, ਰੋਕਥਾਮ ਜਾਂ ਕਾਰਵਾਈ ਕਰਨ ਲਈ ਖੁਲਾਸਾ ਕਰਨਾ ਉਚਿਤ ਤੌਰ 'ਤੇ ਜ਼ਰੂਰੀ ਹੈ। ਜਾਂ ਸਰਕਾਰੀ ਲਾਗੂ ਕਰਨ ਵਾਲੀਆਂ ਏਜੰਸੀਆਂ ਦੀ ਮਦਦ ਕਰਨ ਲਈ; (2) ਤੁਹਾਡੇ ਨਾਲ ਸਾਡੇ ਲਾਗੂ ਹੋਏ ਸਮਝੌਤੇ ਤਹਿਤ; (3) ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਦੇ ਦਾਅਵਿਆਂ ਜਾਂ ਦੋਸ਼ਾਂ ਦੇ ਵਿਰੁੱਧ ਆਪਣੀ ਜਾਂਚ ਅਤੇ ਬਚਾਅ ਲਈ; (4) ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਸੁਰੱਖਿਆ ਜਾਂ ਅਖੰਡਤਾ ਦੀ ਰੱਖਿਆ ਲਈ (ਜਿਵੇਂ ਕਿ ਸਮਾਨ ਖਤਰਿਆਂ ਦਾ ਸਾਹਮਣਾ ਕਰ ਰਹੀਆਂ ਕੰਪਨੀਆਂ ਨਾਲ ਸਾਂਝਾ ਕਰਕੇ); ਜਾਂ (5) ਕਿਸੇ ਵਿਅਕਤੀ ਦੇ ਅਧਿਕਾਰਾਂ ਅਤੇ ਸੁਰੱਖਿਆ ਦੀ ਵਰਤੋਂ ਜਾਂ ਸੁਰੱਖਿਆ ਕਰਨਾ।","We can protect and share your information in response to a legal request, general or other legal process, or if we are firmly convinced that (1) fraud or illegality is necessary for an investigation, arrest or action. Or to assist law enforcement agencies; (2) the law of justice and justice applied to you; (3) any claims or charges against your own trial and safety; (4) our rights or protection;"
4. RETENTION,4. ਧਾਰਨਾ,4. Opinion
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਦੇ ਸਮੇਂ ਦਫ਼ਾ 1 ਦੇ ਤਹਿਤ ਤੁਹਾਡੇ ਤੋਂ ਇਕੱਠੀ ਕੀਤੀ ਗਈ ਸਾਰੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਉਦੋਂ ਤੱਕ ਬਰਕਰਾਰ ਰੱਖੀ ਜਾਵੇਗੀ ਜਦੋਂ ਤੱਕ ਤੁਹਾਡਾ ਰਿਕਾਰਡ ਮੌਜੂਦ ਰਹੇਗਾ ਅਤੇ ਜੇਕਰ ਦਫ਼ਾ 2 ਦੇ ਅਧੀਨ ਕੋਈ ਡਾਕਟਰੀ ਜਾਂ ਪ੍ਰਸ਼ਾਸਨਿਕ ਦਖਲਅੰਦਾਜ਼ੀ ਸ਼ੁਰੂ ਕੀਤੀ ਗਈ ਹੈ, ਤਾਂ ਹੇਠਾਂ ਦਫ਼ਾ 4(ਬੀ) ਦੇ ਅਧੀਨ, ਇਸ ਤੋਂ ਬਾਅਦ ਦੀ ਅਵਧੀ ਲਈ ਅਜਿਹੀ ਦਖਲਅੰਦਾਜ਼ੀ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਲੋੜੀਂਦਾ ਹੈ।","All personal information collected from you during your registration will be stored until your record is available and if a medical or administrative examination is started under page 4(b) below, then you will need to complete it for the next period."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","ਦਫ਼ਾ 1 ਦੇ ਤਹਿਤ ਇਕੱਤਰ ਕੀਤੀ ਗਈ ਸਾਰੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਐਪਲੀਕੇਸ਼ਨ ਇਸ ਹੱਦ ਤੱਕ ਸਰਵਰ 'ਤੇ ਰੱਖੀ ਜਾਵੇਗੀ, ਕਿ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਉਹਨਾਂ ਲੋਕਾਂ ਨਾਲ ਸਬੰਧਤ ਹੈ ਜੋ ਘਟਨਾ ਲਈ ਰਜਿਸਟਰ ਕੀਤੇ ਗਏ ਹਨ।",All personal information collected at page 1 will be stored on the server until the server is connected to the people who are registered for the event.
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","ਇੱਥੇ ਦੱਸੀ ਗਈ ਕੋਈ ਵੀ ਚੀਜ਼ ਪੋਸ਼ਣ ਟਰੈਕਰ ਦੇ ਰਜਿਸਟਰਡ ਉਪਭੋਗਤਾਵਾਂ ਦੇ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਬਣਾਏ ਗਏ ਅਗਿਆਤ ਜਾਂ ਸਮੁਚੇ ਅੰਕੜਾ ਸਮੂਹ ਜਾਂ ਕੋਈ ਰਿਪੋਰਟਾਂ, ਹੀਟ ਮੈਪ ਜਾਂ ਹੋਰ ਦ੍ਰਿਸ਼ਟੀਕੋਣ ਦੁਆਰਾ ਇਕੱਠੇ ਕੀਤੇ ਅੰਕੜਾ ਸਮੂਹ 'ਤੇ ਲਾਗੂ ਨਹੀਂ ਹੋਵੇਗੀ।",Nothing specified here will apply to the identity or group of data collected by the registered users of the search tracker.
5. RIGHTS,5. ਅਧਿਕਾਰ,[ Picture Credit Line on page 5]
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","ਇੱਕ ਰਜਿਸਟਰਡ ਉਪਭੋਗਤਾ ਵਜੋਂ, ਤੁਹਾਡੇ ਕੋਲ ਕਿਸੇ ਵੀ ਸਮੇਂ ਆਪਣੀ ਪ੍ਰੋਫਾਈਲ ਖੋਲ੍ਹਣ ਦਾ ਅਧਿਕਾਰ ਹੈ। ਹਾਲਾਂਕਿ, ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਪੋਸ਼ਣ ਟਰੈਕਰ ਸਿਸਟਮ ਦੁਆਰਾ ਨਿਰਧਾਰਿਤ ਤੌਰ 'ਤੇ ਤਬਦੀਲੀਆਂ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ।","As a registered user, you have the right to open your profile at any time. However, the search tracker system can be changed at any time."
You cannot manage the communications that you receive from us or how you receive them.,ਤੁਸੀਂ ਉਹਨਾਂ ਸੰਚਾਰਾਂ ਦਾ ਪ੍ਰਬੰਧਨ ਨਹੀਂ ਕਰ ਸਕਦੇ ਜੋ ਤੁਸੀਂ ਸਾਡੇ ਤੋਂ ਪ੍ਰਾਪਤ ਕਰਨੇ ਹਨ ਜਾਂ ਕਿਵੇਂ ਪ੍ਰਾਪਤ ਕਰਨੇ ਹਨ।,You can't manage what you get from us or how you get from us.
6. DATA SECURITY,6. ਅੰਕੜਿਆਂ ਦੀ ਸੁਰੱਖਿਆ,6. Data Protection
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","ਪੋਸ਼ਣ ਟਰੈਕਰ ਪਲੇਟਫਾਰਮ ਵਿੱਚ ਤੁਹਾਡੀ ਗੋਪਨੀਅਤਾ ਅਤੇ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਨੂੰ ਨੁਕਸਾਨ, ਦੁਰਵਰਤੋਂ, ਅਣਅਧਿਕਾਰਤ ਪ੍ਰਵੇਸ਼, ਖੁਲਾਸੇ, ਤਬਾਹੀ, ਅਤੇ ਲਾਗੂ ਕਾਨੂੰਨਾਂ ਦੀ ਪਾਲਣਾ ਵਿੱਚ ਜਾਣਕਾਰੀ ਦੇ ਬਦਲਾਅ ਤੋਂ ਬਚਾਉਣ ਲਈ ਉਚਿਤ ਸੁਰੱਖਿਆ ਉਪਾਅ ਅਤੇ ਅਨੁਕੂਲ ਪ੍ਰਬੰਧ ਹਨ। ਇਸ ਤੋਂ ਇਲਾਵਾ, ਜਦੋਂ ਵੀ ਤੁਸੀਂ ਸਿਸਟਮ 'ਤੇ ਆਪਣੇ ਖਾਤੇ ਜਾਂ ਇਸ ਨਾਲ ਸਬੰਧਤ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਨੂੰ ਬਦਲਦੇ ਜਾਂ ਐਕਸੈਸ ਕਰਦੇ ਹੋ, ਅਸੀਂ ਇੱਕ ਸੁਰੱਖਿਅਤ ਸਰਵਰ ਦੀ ਵਰਤੋਂ ਦੀ ਪੇਸ਼ਕਸ਼ ਕਰਦੇ ਹਾਂ। ਅੱਗੋਂ ਇਹ ਵੀ ਸਪੱਸ਼ਟ ਕੀਤਾ ਜਾਂਦਾ ਹੈ ਕਿ ਜਦੋਂ ਤੱਕ ਤੁਸੀਂ ਸਿਸਟਮ ਤੇ (ਸਿੱਧੇ ਜਾਂ ਅਸਿੱਧੇ ਤੌਰ 'ਤੇ) ਪ੍ਰਵੇਸ਼ ਕਰਦੇ ਹੋ ਅਤੇ/ਜਾਂ ਵਰਤਦੇ ਹੋ, ਤੁਹਾਡੀ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਹੈ ਕਿ ਤੁਸੀਂ, ਤੁਹਾਡੇ ਅੰਕੜਿਆਂ ਦੀ ਅਖੰਡਤਾ ਅਤੇ ਸੁਰੱਖਿਆ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਣ ਲਈ ਜਿਸ ਵਿੱਚ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਸ਼ਾਮਲ ਹੋਵੇਗੀ ਅਤੇ ਇਸ ਤੱਕ ਸੀਮਿਤ ਨਹੀਂ ਹੋਵੇਗੀ, ਹਰ ਸਮੇਂ, ਆਪਣੇ ਵਲੋਂ ਢੁਕਵੇਂ ਭੌਤਿਕ, ਪ੍ਰਬੰਧਕੀ, ਅਤੇ ਤਕਨੀਕੀ ਸੁਰੱਖਿਆ ਉਪਾਅ ਕਰੋਗੇ।","Also, when you change your privacy and personal information on your system or access any information related to it, we use a secure server. It is also specified that when you are on the system, you will be able to change your own account or access any of your personal information."
