en,as
2.4. Security and Audit.,"যেতিয়া আপুনি পোষণ ট্ৰেকাৰত পঞ্জীয়ন কৰে, যি মোবাইল নম্বৰৰ সৈতে আপুনি পঞ্জীয়ন কৰে, তাক ডাটাবেছৰ পৰা আপোনাৰ ৰৰেকৰ্ড বিচাৰি উলিয়াবলৈ ব্যৱহাৰ কৰা হ’ব৷ এইবোৰক পোষণ ট্ৰেকাৰ চিষ্টেমত ৰেকৰ্ড থকা অনুযায়ী স্বাস্থ্যৰ ষ্টেটাছ মূল্যায়ন কৰাত ব্যৱহাৰ কৰিব পাৰি৷"
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.",2.2. আপোনাৰ সৈতে যোগাযোগ কৰা।
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.","আমি আপোনাক পঞ্জীয়নৰ বিষয়ে এলাৰ্ট কৰিবলৈ আপোনাৰ পঞ্জীয়নকৃত মোবাইল নম্বৰত SMS প্ৰেৰণ কৰো, যেতিয়া আপুনি আমাক যোগাযোগ কৰে আপোনাক সঁহাৰি জনাবলৈ আৰু অনুসন্ধান কৰিবলৈ, অভিযোগবোৰৰ প্ৰতি সঁহাৰি দিবলৈ আৰু সমাধান কৰিবলৈ আৰু সেৱাজনিত সমস্যাৰ বাবে (উদাহৰণ বাগ) আমি আপোনাৰ তথ্য ব্যৱহাৰ কৰো৷"
2.5. Research and operational activities.,2.3. সত্যাপন।
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","আমি একাউন্ট সমূহ সত্যাপন কৰাত সহায় কৰিবলৈ, আমাৰ ওচৰত থকা তথ্য সমূহ ব্যৱহাৰ কৰো৷ ৰেকৰ্ড সমূহ পোষণ ট্ৰেকাৰ নিয়ন্ত্ৰণ আৰু সঁহাৰিৰ উদ্দেশ্যে স্বাস্থ্যৰ স্থিতি সত্যাপন কৰিবলৈ ব্যৱহাৰ কৰা হ’ব পাৰে৷"
2.6. Surveys and Feedbacks.,2.4. সুৰক্ষা আৰু অডিট।
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes",আমি আপোনাৰ ডাটা (আপোনাৰ যোগাযোগকে ধৰি) সুৰক্ষাৰ উদ্দেশ্যে বা সম্ভাৱ্য প্ৰৱঞ্চনা বা আমাৰ সেৱাৰ চৰ্তাৱলীৰ অন্যান্য উলংঘনত আৰু/বা আমাৰ সদস্যসকলৰ ক্ষতিৰ প্ৰয়াসত বাধা প্ৰদান কৰিবলৈ বা অনুসন্ধান কৰিবলৈ ব্যৱহাৰ কৰো৷
3. SHARING OF INFORMATION,"পোষণ ট্ৰেকাৰ চিষ্টেম, চিষ্টেমটোৰ সুৰক্ষা আৰু পৰিমাপনীয়তাৰ বাবে, MWCD ৰ দ্বাৰা নিয়োজিত অডিটৰ সকলৰ দ্বাৰা নিয়মীয়াকৈ অডিট কৰা হয়৷ ৰেকৰ্ড সমূহ এনে অডিট সমূহৰ বাবে ব্যৱহাৰ কৰা যাব পাৰে৷"
3.1. Tracking health progress.,2.5. গৱেষণা আৰু কাৰ্যকৰী ক্ৰিয়া-কলাপ।
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","আমি আমাৰ সেৱা সমূহ অপাৰেট কৰিবলৈ ডাটা সমূহো ব্যৱহাৰ কৰো, য’ত আমাৰ প্ৰদৰ্শন বিশ্লেষণ কৰা, আমাৰ আইনগত বাধ্যবাধকতা সমূহ পূৰণ কৰা, আমাৰ কৰ্মশক্তি বিকশিত কৰা, আৰু গৱেষণা কৰা অন্তৰ্ভুক্ত থাকে৷ আমি হয়তো চিষ্টেমটোৰ বিকাশৰ বাবে আৰু চিষ্টেমটোৰ সা-সুবিধাৰ প্ৰতি আনুষংগিক আৰু নতুন প্ৰযুক্তি আৰু সেৱা সমূহ বিকশিত আৰু যোগান ধৰাৰ বাবে কিছুমান নিৰ্দিষ্ট প্ৰয়োজনীয় কাৰ্য-কলাপ সম্পন্ন কৰিবলৈ তথ্য ব্যৱহাৰ কৰো৷"
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:",2.6. জৰীপ আৰু মন্তৱ্য।
1. Required in order to comply with any applicable law or court order or direction; or,"চিষ্টেমটোৱে চিষ্টেমৰ পাৰফৰ্মেঞ্চ আৰু অভিজ্ঞতাৰ বিষয়ে ফীডবেক গ্ৰহণ কৰে৷ নাম, মোবাইল নম্বৰ, পঞ্জীয়নৰ তাৰিখ আৰু স্বাস্থ্যৰ স্থিতিৰ তথ্য এই উদ্দেশ্যে ব্যৱহাৰ হ’ব পাৰে৷"
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.",3. তথ্য ভাগ-বতৰা কৰা
3.2. Legal Disclosures.,3.1. স্বাস্থ্যৰ বিকাশ ট্ৰেক কৰা।
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","আপোনাৰ পৰা পঞ্জীয়নৰ সময়ত সংগ্ৰহ কৰা ব্যক্তিগত তথ্য ওপৰৰ দফা 1 ৰ অধীনত, সুৰক্ষিতভাৱে সঞ্চিত কৰি ৰখা হয় আৰু মাত্ৰ ভাৰত চৰকাৰ বা ৰাজ্য চৰকাৰৰ দ্বাৰা স্বাস্থ্যৰ বিকাশ আৰু স্থিতি ট্ৰেক কৰিবলৈ, ৰিপোৰ্ট, হীট মেপ আৰু আন পৰিসাংখ্যিক অৱলোকন দেশ পোষণ ট্ৰেকাৰৰ পৰিচালনাৰ উদ্দেশ্যে প্ৰস্তুত কৰিবলৈ সংগ্ৰহ কৰা হয়৷ আপোনাৰ ৰেফাৰেঞ্চ আইডি (মোবাইল নম্বৰ) মাত্ৰ ওপৰৰ দফা 1 অনুসৰি SMS ৰ জৰিয়তে আপোনাৰ সৈতে যোগাযোগ কৰিবলৈ আপোনাৰ ব্যক্তিগত তথ্যৰ সৈতে সহ-সম্পৰ্কিত হ’ব৷"
4. RETENTION,"আমি আপোনাৰ সন্মতি অবিহনে আন কোনো তৃতীয় পক্ষৰ সৈতে আপোনাৰ তথ্য সদৰি বা স্থানান্তৰ নকৰো, যদি এনে উন্মোচন বা স্থানান্তৰ হয়:"
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.",1. কোনো প্ৰযোজ্য আইন বা আদালতৰ আদেশ বা নিৰ্দেশৰ সৈতে চলাৰ প্ৰয়োজন হয়; বা
