en,ur
Dashboard,پوشن ٹریکر پلیٹ فارم میں آپ کی رازداری اور ذاتی معلومات کو نقصان، غلط استعمال، غیر مجاز رسائی، افشاء، تباہی، اور قابل اطلاق قوانین کی تعمیل میں معلومات کی تبدیلی سے بچانے کے لیے مناسب حفاظتی اقدامات اور حفاظتی اقدامات موجود ہیں۔ اس کے علاوہ، جب بھی آپ سسٹم پر اپنے اکاؤنٹ یا اس سے متعلق کسی بھی معلومات کو تبدیل کرتے یا اس تک رسائی حاصل کرتے ہیں، تو ہم ایک محفوظ سرور کے استعمال کی پیشکش کرتے ہیں۔ یہ مزید واضح کیا جاتا ہے کہ جب تک آپ سسٹم تک رسائی اور/یا استعمال کرتے ہیں (براہ راست یا بالواسطہ طور پر)، آپ کو یہ یقینی بنانے کی ذمہ داری ہے کہ آپ، ہر وقت، مناسب جسمانی، انتظامی، اور تکنیکی تحفظات اپنے اختتام پر لیں گے۔ ، آپ کے ڈیٹا کی سالمیت اور سلامتی کو محفوظ رکھنے کے لیے جس میں آپ کی ذاتی معلومات شامل ہوں گی اور ان تک محدود نہیں ہوں گی۔
Mission Utkarsh,7. رازداری کی پالیسی میں تبدیلیاں
Helpdesk,پوشن ٹریکر اس پرائیویسی پالیسی کے کسی بھی حصے کو کسی بھی وقت تبدیل کرنے، ترمیم کرنے، شامل کرنے یا ہٹانے کا غیر مشروط حق محفوظ رکھتا ہے، آپ کو ایسی تبدیلیوں کے بارے میں خاص طور پر مطلع کیے بغیر۔ کوئی بھی تبدیلی یا اپ ڈیٹ فوری طور پر مؤثر ہو جائے گا۔ تبدیلیوں کے لیے آپ کو اس پرائیویسی پالیسی کا باقاعدگی سے جائزہ لینا چاہیے۔
Beneficiary Redressal,ہم اس پرائیویسی پالیسی میں کسی بھی مادی تبدیلیوں جیسے کہ سسٹم پر نوٹس کے ذریعے تمام صارفین کو عام طور پر مطلع کرنے کے لیے تجارتی لحاظ سے معقول کوششیں استعمال کریں گے۔ تاہم، سسٹم کے صارف کے طور پر، آپ کو کسی بھی تبدیلی کے لیے پرائیویسی پالیسی کو باقاعدگی سے چیک کرنا چاہیے۔ ہم اس رازداری کی پالیسی کے اوپری حصے میں آخری تازہ کاری کی تاریخ کو بھی اپ ڈیٹ کریں گے، جو اس رازداری کی پالیسی کی مؤثر تاریخ کی عکاسی کرتی ہے۔ نئی پرائیویسی پالیسی کی تاریخ کے بعد سسٹم تک آپ کی مسلسل رسائی یا استعمال آپ کی نئی پرائیویسی پالیسی کی قبولیت کو تشکیل دیتا ہے۔ اگر آپ نئی رازداری کی پالیسی سے متفق نہیں ہیں، تو آپ کو سسٹم تک رسائی اور/یا استعمال کرنا بند کر دینا چاہیے۔ آپ اس کے ذریعے تسلیم کرتے ہیں کہ آپ کی معلومات کا کوئی بھی ذخیرہ، ذخیرہ، پروسیسنگ یا دیگر استعمال پرائیویسی پالیسی کے تحت ہوگا جیسا کہ اس طرح کے جمع کرنے، ذخیرہ کرنے، پروسیسنگ یا دیگر استعمال کے وقت لاگو ہوتا ہے۔
State Helpdesk,حمایت
FAQ, 14408
Poshan Calculator, support-poshantrackr@gov.in
Login,موبائل ایپ ڈاؤن لوڈ کریں۔
Careers At Poshan Tracker,Powered By
We believe in building doers. Poshan Tracker is a project of Ministry of Women and Child Development. Digital India Corporation is the technical partner of MoWCD. Poshan Tracker focuses on eradication of malnutrition from India. It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan.,کے بارے میں
Job openings,ذرائع وسائل
Support,ڈیش بورڈ
 14408,ہیلپ ڈیسک
 support-poshantrackr@gov.in,عمومی سوالات
Download Mobile App,پوشن کیلکولیٹر
Powered By,خدمت کی شرائط۔
About,رازداری کی پالیسی
Resources,کیریئرز
Dashboard,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
Helpdesk, You need to enable JavaScript to run this app.
FAQ,Poshan Helpline:
Poshan Calculator,14408
Terms of Service,JanAndolan
Privacy Policy,ABHA (صحت کا شناختی کارڈ)
Careers,زبان
Copyright@2023  Poshan Tracker. All rights reserved,English
 You need to enable JavaScript to run this app.,हिंदी
Poshan Helpline:,ગુજરાતી
14408,મરાઠી
JanAndolan,ಕನ್ನಡ
ABHA (Health ID),മലയാളം
Language,தமிழ்
English,తెలుగు
हिंदी,বাংলা
ગુજરાતી,অসমীয়া
મરાઠી,ਪੰਜਾਬੀ
ಕನ್ನಡ,ଓଡ଼ିଆ
മലയാളം,नेपाली
தமிழ்,डोगरी
తెలుగు,कोंकणी
বাংলা,सिंधी
অসমীয়া,बोडो
ਪੰਜਾਬੀ,मैथिली
ଓଡ଼ିଆ,মণিপুরী
नेपाली,संथाली
डोगरी,اردو
कोंकणी,کٲشُر
सिंधी,کے بارے میں
बोडो,ذرائع وسائل
मैथिली,ذرائع وسائل
মণিপুরী,ویکسینیشن شیڈول
संथाली,ڈیش بورڈ
اردو,ڈیش بورڈ
کٲشُر,Mission Utkarsh
About,ہیلپ ڈیسک
Resources,فائدہ اٹھانے والے کا ازالہ
Resources,اسٹیٹ ہیلپ ڈیسک
Vaccination Schedule,عمومی سوالات
Dashboard,پوشن کیلکولیٹر
Dashboard,لاگ ان کریں
Mission Utkarsh,پوشن ٹریکر میں روزگار کے مواقع
Helpdesk,ہم کام کرنے والوں کو بنانے میں یقین رکھتے ہیں۔ پوشن ٹریکر وزرات برائے خواتین و ترقی اطفال کا ایک پروجیکٹ ہے۔ ڈیجیٹل انڈیا، کارپوریشن وزرات برائے خواتین و ترقی اطفال کا تکنیکی شریک ہے۔ پوشن ٹریکر بھارت سے ناقص غذائیت کو جڑ سے اکھاڑ پھینکنے پر اپنی توجہ مرکوز کرتا ہے۔ یہ پوشن ابھیان کے تحت خدمات کی فراہمی کی نگرانی کرنے اور اس میں بہتری لانے کے ایک میکانزم کے طور پر کام کرتا ہے۔.
Beneficiary Redressal,ملازمتوں کے مواقع
State Helpdesk,حمایت
FAQ, 14408
Poshan Calculator, support-poshantrackr@gov.in
Login,موبائل ایپ ڈاؤن لوڈ کریں۔
Video Conference,Powered By
Monday to Friday,کے بارے میں
 | ,ذرائع وسائل
4:15 PM to 5:15 PM,ڈیش بورڈ
Book VC,ہیلپ ڈیسک
Get In Touch,عمومی سوالات
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi",پوشن کیلکولیٹر
support-poshantrackr[at]gov[dot]in,خدمت کی شرائط۔
Support,رازداری کی پالیسی
 14408,کیریئرز
 support-poshantrackr@gov.in,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
Download Mobile App, You need to enable JavaScript to run this app.
Powered By,Poshan Helpline:
About,14408
Resources,JanAndolan
Dashboard,ABHA (صحت کا شناختی کارڈ)
Helpdesk,زبان
FAQ,English
Poshan Calculator,हिंदी
Terms of Service,ગુજરાતી
Privacy Policy,મરાઠી
Careers,ಕನ್ನಡ
Copyright@2023  Poshan Tracker. All rights reserved,മലയാളം
,தமிழ்
,తెలుగు
,বাংলা
,অসমীয়া
,ਪੰਜਾਬੀ
,ଓଡ଼ିଆ
,नेपाली
,डोगरी
,कोंकणी
,सिंधी
,बोडो
,मैथिली
,মণিপুরী
,संथाली
,اردو
,کٲشُر
,کے بارے میں
,ذرائع وسائل
,ذرائع وسائل
,ویکسینیشن شیڈول
,ڈیش بورڈ
,ڈیش بورڈ
,Mission Utkarsh
,ہیلپ ڈیسک
,فائدہ اٹھانے والے کا ازالہ
,اسٹیٹ ہیلپ ڈیسک
,عمومی سوالات
,پوشن کیلکولیٹر
,لاگ ان کریں
,ویڈیو کانفرنس
,پیر سے جمعہ
, | 
,4:15 PM to 5:15 PM
,کتاب وی سی
,رابطے میں رہنا
,وزارت خواتین و بچوں کی ترقی ، حکومت ھند، شاستری بھون نئی دہلی
,support-poshantrackr[at]gov[dot]in
,حمایت
, 14408
, support-poshantrackr@gov.in
,موبائل ایپ ڈاؤن لوڈ کریں۔
,Powered By
,کے بارے میں
,ذرائع وسائل
,ڈیش بورڈ
,ہیلپ ڈیسک
,عمومی سوالات
,پوشن کیلکولیٹر
,خدمت کی شرائط۔
,رازداری کی پالیسی
,کیریئرز
,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
